111,,,,,,,,,,,,,,,,,,,,,
4pt5Stab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
    ,CO2,CO2NetLandUse,CH4,N2O,SOXreg1,SOXreg2,SOXreg3,CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,
Year,(Pg C),(Pg C),(Tg),(Tg N),(Tg S),(Tg S),(Tg S),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(Mt N),(Mt),(Mt),(Mt),(Mt),blank line
1990,6.15,1.45,312.2436,6.1341,32.5301,16.2153,15.2031,11.9977,2.0736,0.1859,1.0102,0.8892,0,0,7.7727,34.7642,166.2504,1045.7471,7953.869679,33195.046,
1991,6.24,1.65,314.5788,6.0279,30.6653,16.5653,15.3995,11.9979,2.3729,0.1909,2.1776,0.9026,0.0047,0,8.1438,34.058,174.6873,1021.7912,8061.463863,33705.0772,
1992,6.18,1.69,321.9518,6.3542,28.3951,16.4187,15.7265,11.9981,2.3731,0.2889,4.208,1.6287,0.0047,0,8.1464,36.1442,182.6469,1174.2038,8169.217648,34212.1262,
1993,6.17,1.56,306.4879,5.9053,26.9472,16.847,15.6468,11.9984,2.3734,0.3768,8.4162,2.3686,0.185,0,8.8864,34.7127,159.6833,934.8376,8277.130832,34716.193,
1994,6.28,1.52,311.0534,6.0182,25.4668,17.0152,15.8613,11.9986,2.3736,1.8251,21.3991,3.8348,0.182,0,7.0454,34.8194,169.026,977.6207,8385.203616,35217.2777,
1995,6.42,1.5,309.2884,6.118,23.4804,17.8622,15.8437,10.5017,2.3739,2.9802,29.7261,6.041,0.1,0,8.5226,35.2873,157.4352,930.1041,8493.436,35715.3801,
1996,6.55,1.48,309.4056,6.216,22.6818,18.1665,16.0813,11.9991,2.3741,3.4189,40.5849,6.15,0.437,0,8.5252,35.4169,155.3429,916.978,8485.927285,35639.8911,
1997,6.66,1.46,340.5237,6.6219,22.4491,17.628,16.2998,11.9993,2.3743,5.354,50.6436,6.2587,0.408,0,6.3155,36.2914,215.9517,1232.7058,8478.380369,35563.6786,
1998,6.64,1.45,315.3302,6.4319,21.7508,17.4672,16.1989,11.9996,2.3746,7.2032,59.6521,6.3677,0.928,0,6.6861,36.9417,167.0161,1044.9354,8470.795153,35486.7427,
1999,6.58,1.41,307.0371,6.0869,20.356,17.0044,16.0355,10.5027,2.3748,8.1532,67.044,6.4775,1.3539,0,8.9007,35.065,152.6935,878.1883,8463.171737,35409.0833,
